"Area","Agricultural water withdrawal as % of total renewable water resources","Flood occurrence (WRI)","Rural population with access to safe drinking-water (JMP)","SDG 6.4.1. Industrial Water Use Efficiency","SDG 6.4.1. Irrigated Agriculture Water Use Efficiency","SDG 6.4.1. Services Water Use Efficiency","SDG 6.4.1. Water Use Efficiency","SDG 6.4.2. Water Stress","Total population with access to safe drinking-water (JMP)","Urban population with access to safe drinking-water (JMP)","% of area equipped for irrigation salinized","Area salinized by irrigation","Population affected by water related disease","Area waterlogged by irrigation"
"Haiti",8.622165169,3.9,47.6,68.182853356,0.245503181,39.087496047,7.724664218,13.383791767,57.7,64.9,NA,NA,NA,NA
"Holy See",NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honduras",1.27815633,3.6,83.8,50.184312589,0.230725297,48.027604467,13.143435869,4.621268764,91.2,97.4,NA,NA,NA,NA
"Hungary",0.526634615,3.5,100,9.780839208,0.456600438,134.902123835,26.344701914,8.070120898,100,100,NA,NA,NA,NA
"Iceland",0.000176471,0.1,100,16.800128639,0.89661243,173.820060041,61.919867975,0.394075282,100,100,NA,NA,NA,NA
"India",36.003977183,3.9,92.6,38.311427049,0.492241145,24.836968042,3.128549774,66.492092832,94.1,97.1,4.6875,3300,44000,2460
"Indonesia",9.397136771,3.1,79.5,45.106210953,0.326644456,19.703838331,4.23545733,29.696545285,87.4,94.2,5.950609938,400,5.111,2150
"Iran (Islamic Republic of)",62.753110292,3.2,92.1,142.198646298,0.339134013,39.572601559,4.618801347,81.289081289,96.2,97.7,24.137931034,2100,NA,1000
"Iraq",34.6861785,2.4,70.1,19.78833408,0.140331513,12.66416648,4.221912696,59.583848315,86.6,93.8,75.70212766,2668.5,NA,NA
"Ireland",0.076923077,2.2,97.8,311.66327508,0,249.419006609,263.738294706,22.20505618,97.9,97.9,NA,NA,NA,NA
"Israel",71.235955056,2.9,100,599.189337857,2.055494125,272.399186266,128.939367948,131.998964714,100,100,12.364444444,27.82,NA,NA
"Italy",8.886565604,2.6,100,47.499953463,0.851333785,137.88297666,48.609231972,29.645783769,100,100,NA,NA,NA,NA
"Jamaica",0.729665023,3.5,89.4,56.315200559,3.325481016,25.46021034,24.615966239,12.382818879,93.8,97.5,NA,NA,NA,NA
"Japan",12.372093023,3,100,111.063709917,0.649344017,217.335579078,56.131135175,36.045977011,100,100,NA,NA,NA,NA
"Jordan",60.897545358,3,92.3,254.504188808,1.53990184,53.30881201,33.288381968,102.51633625,96.9,97.8,2.540942994,2.277,NA,1.5
"Kazakhstan",14.205331612,1.7,85.6,16.276485185,0.055556322,26.334366418,7.999585183,34.098474341,92.9,99.4,17.134092901,391,3.22,22.9
"Kenya",10.534201954,3.8,56.8,44.927932253,0.197348903,103.350652216,16.222708996,33.239901072,63.2,81.6,14.972301243,30,NA,NA
"Kiribati",NA,NA,50.6,NA,NA,NA,NA,NA,66.9,87.3,NA,NA,NA,NA
"Kuwait",3892,0.6,99,2369.156534188,0.583672242,143.966040133,96.156522809,3850.5,99,99,24.028268551,4.08,NA,NA
"Kyrgyzstan",30.061817258,2.1,86.2,5.417101533,0.126548495,18.029018513,0.882133234,50.03895598,90,96.7,4.846289407,49.5,122.8,35.4
"Lao People's Democratic Republic",2.113943029,3.9,69.4,25.397448342,0.170183416,76.050384162,2.095769965,4.791395046,75.7,85.6,NA,NA,NA,NA
"Latvia",0.158345736,1.8,98.3,144.976150064,0.027513783,233.987699879,144.278520877,1.067831467,99.3,99.8,NA,NA,NA,NA
"Lebanon",15.545192094,2.8,99,2.522833045,1.812728811,118.537683191,17.385056453,58.792991564,99,99,1.111111111,1,NA,3
"Lesotho",0.12574454,3.3,77,26.405548016,0.014461636,66.319649966,42.341527714,2.565905097,81.8,94.6,NA,NA,NA,NA
